Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:32:24,ENG-01,106.5,67.0,26.6,
2026-04-23 05:33:24,ENG-02,105.2,66.2,24.0,
2026-04-23 05:34:24,ENG-03,104.6,67.3,27.4,
2026-04-23 05:35:24,ENG-01,104.2,67.1,26.7,
2026-04-23 05:36:24,ENG-02,107.5,64.5,27.9,
2026-04-23 05:37:24,ENG-03,105.0,64.6,27.3,
2026-04-23 05:38:24,ENG-01,104.3,67.2,27.0,
2026-04-23 05:39:24,ENG-02,106.1,67.0,26.5,
2026-04-23 05:40:24,ENG-03,104.8,65.8,25.8,
2026-04-23 05:41:24,ENG-01,106.0,64.0,26.3,
2026-04-23 05:42:24,ENG-02,105.9,67.8,25.9,
2026-04-23 05:43:24,ENG-03,105.2,64.4,25.1,
2026-04-23 05:44:24,ENG-01,103.7,64.5,26.5,
2026-04-23 05:45:24,ENG-02,103.7,67.4,26.4,
2026-04-23 05:46:24,ENG-03,106.3,64.5,25.0,
2026-04-23 05:47:24,ENG-01,104.6,64.4,24.2,
2026-04-23 05:48:24,ENG-02,105.3,67.0,25.8,
2026-04-23 05:49:24,ENG-03,105.7,66.3,25.3,
2026-04-23 05:50:24,ENG-01,103.9,66.7,27.6,
2026-04-23 05:51:24,ENG-02,107.2,65.6,25.4,
2026-04-23 05:52:24,ENG-03,104.1,64.6,25.9,
2026-04-23 05:53:24,ENG-01,107.2,64.3,24.1,
2026-04-23 05:54:24,ENG-02,107.8,67.8,24.3,
2026-04-23 05:55:24,ENG-03,105.0,66.7,24.5,
2026-04-23 05:56:24,ENG-01,107.2,66.6,26.7,
2026-04-23 05:57:24,ENG-02,102.2,67.8,25.4,
2026-04-23 05:58:24,ENG-03,107.7,65.5,27.1,
2026-04-23 05:59:24,ENG-01,105.4,67.9,25.3,
2026-04-23 06:00:24,ENG-02,104.7,66.9,24.1,
2026-04-23 06:01:24,ENG-03,102.1,66.3,26.5,
2026-04-23 06:02:24,ENG-01,102.7,65.9,25.6,
2026-04-23 06:03:24,ENG-02,105.1,67.5,25.0,
2026-04-23 06:04:24,ENG-03,104.0,66.2,26.1,
2026-04-23 06:05:24,ENG-01,102.9,66.6,25.2,
2026-04-23 06:06:24,ENG-02,106.1,66.1,25.7,
2026-04-23 06:07:24,ENG-03,107.7,64.7,28.0,
2026-04-23 06:08:24,ENG-01,107.3,64.8,26.4,
2026-04-23 06:09:24,ENG-02,104.7,65.3,27.6,
2026-04-23 06:10:24,ENG-03,107.6,67.9,25.8,
