Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:29:53,ENG-01,106.3,65.6,24.3,
2026-04-23 05:30:53,ENG-02,106.7,65.8,25.5,
2026-04-23 05:31:53,ENG-03,106.0,65.4,25.6,
2026-04-23 05:32:53,ENG-01,103.5,64.4,27.8,
2026-04-23 05:33:53,ENG-02,106.8,64.2,26.7,
2026-04-23 05:34:53,ENG-03,105.3,67.7,24.2,
2026-04-23 05:35:53,ENG-01,106.2,65.1,27.1,
2026-04-23 05:36:53,ENG-02,102.7,66.3,26.0,
2026-04-23 05:37:53,ENG-03,104.5,67.8,24.7,
2026-04-23 05:38:53,ENG-01,104.5,65.1,27.1,
2026-04-23 05:39:53,ENG-02,105.5,64.3,24.1,
2026-04-23 05:40:53,ENG-03,102.9,66.7,24.2,
2026-04-23 05:41:53,ENG-01,106.4,64.9,26.4,
2026-04-23 05:42:53,ENG-02,106.7,65.6,27.6,
2026-04-23 05:43:53,ENG-03,106.3,64.4,25.2,
2026-04-23 05:44:53,ENG-01,102.3,66.1,27.0,
2026-04-23 05:45:53,ENG-02,103.1,67.8,28.0,
2026-04-23 05:46:53,ENG-03,106.4,66.0,26.9,
2026-04-23 05:47:53,ENG-01,107.4,64.5,26.5,
2026-04-23 05:48:53,ENG-02,105.9,67.5,25.7,
2026-04-23 05:49:53,ENG-03,106.7,66.5,27.6,
2026-04-23 05:50:53,ENG-01,106.9,67.3,27.5,
2026-04-23 05:51:53,ENG-02,104.0,67.9,26.5,
2026-04-23 05:52:53,ENG-03,104.6,65.2,26.2,
2026-04-23 05:53:53,ENG-01,104.1,65.1,27.5,
2026-04-23 05:54:53,ENG-02,103.6,64.3,26.5,
2026-04-23 05:55:53,ENG-03,102.1,64.3,25.4,
2026-04-23 05:56:53,ENG-01,104.4,64.9,24.9,
2026-04-23 05:57:53,ENG-02,103.3,65.9,25.1,
2026-04-23 05:58:53,ENG-03,102.3,66.1,24.8,
2026-04-23 05:59:53,ENG-01,106.5,64.4,24.7,
2026-04-23 06:00:53,ENG-02,105.3,67.2,27.0,
2026-04-23 06:01:53,ENG-03,103.2,66.0,25.5,
2026-04-23 06:02:53,ENG-01,107.9,66.7,26.7,
2026-04-23 06:03:53,ENG-02,104.7,65.3,25.8,
2026-04-23 06:04:53,ENG-03,107.3,64.6,25.0,
2026-04-23 06:05:53,ENG-01,105.7,67.1,25.7,
2026-04-23 06:06:53,ENG-02,105.7,65.5,25.5,
