Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:31:05,ENG-01,106.2,67.9,24.2,
2026-04-23 05:32:05,ENG-02,105.3,65.0,26.2,
2026-04-23 05:33:05,ENG-03,105.3,64.9,26.8,
2026-04-23 05:34:05,ENG-01,103.2,66.5,25.5,
2026-04-23 05:35:05,ENG-02,105.5,68.0,24.5,
2026-04-23 05:36:05,ENG-03,105.7,64.1,26.8,
2026-04-23 05:37:05,ENG-01,106.3,67.6,25.8,
2026-04-23 05:38:05,ENG-02,103.7,67.4,26.2,
2026-04-23 05:39:05,ENG-03,104.1,64.4,25.5,
2026-04-23 05:40:05,ENG-01,105.2,66.2,24.1,
2026-04-23 05:41:05,ENG-02,103.1,66.9,26.5,
2026-04-23 05:42:05,ENG-03,105.5,66.0,27.0,
2026-04-23 05:43:05,ENG-01,107.0,65.4,27.8,
2026-04-23 05:44:05,ENG-02,106.4,64.7,27.1,
2026-04-23 05:45:05,ENG-03,103.9,64.2,27.7,
2026-04-23 05:46:05,ENG-01,107.4,65.0,24.3,
2026-04-23 05:47:05,ENG-02,102.0,64.1,25.1,
2026-04-23 05:48:05,ENG-03,105.7,66.8,26.1,
2026-04-23 05:49:05,ENG-01,107.9,66.6,24.4,
2026-04-23 05:50:05,ENG-02,107.4,67.5,25.7,
2026-04-23 05:51:05,ENG-03,105.7,65.2,24.9,
2026-04-23 05:52:05,ENG-01,107.1,67.3,24.6,
2026-04-23 05:53:05,ENG-02,103.9,65.0,26.0,
2026-04-23 05:54:05,ENG-03,107.5,65.2,25.0,
2026-04-23 05:55:05,ENG-01,102.1,67.8,25.0,
2026-04-23 05:56:05,ENG-02,105.8,65.9,26.3,
2026-04-23 05:57:05,ENG-03,106.8,67.4,24.2,
2026-04-23 05:58:05,ENG-01,104.0,66.0,26.4,
2026-04-23 05:59:05,ENG-02,102.2,67.0,26.8,
2026-04-23 06:00:05,ENG-03,104.9,65.5,27.4,
2026-04-23 06:01:05,ENG-01,104.5,66.9,24.3,
2026-04-23 06:02:05,ENG-02,103.9,67.9,26.3,
2026-04-23 06:03:05,ENG-03,104.0,64.6,24.6,
2026-04-23 06:04:05,ENG-01,105.4,67.6,27.3,
2026-04-23 06:05:05,ENG-02,107.2,66.2,24.2,
2026-04-23 06:06:05,ENG-03,103.4,67.5,26.5,
2026-04-23 06:07:05,ENG-01,102.4,66.0,26.3,
2026-04-23 06:08:05,ENG-02,107.7,65.3,24.7,
2026-04-23 06:09:05,ENG-03,106.0,66.4,27.0,
2026-04-23 06:10:05,ENG-01,104.9,67.3,26.8,
2026-04-23 06:11:05,ENG-02,105.6,65.3,27.5,
2026-04-23 06:12:05,ENG-03,107.7,66.8,25.6,
2026-04-23 06:13:05,ENG-01,107.1,67.0,24.9,
2026-04-23 06:14:05,ENG-02,105.1,64.6,26.5,
2026-04-23 06:15:05,ENG-03,103.5,64.3,24.6,
2026-04-23 06:16:05,ENG-01,106.2,65.5,25.0,
2026-04-23 06:17:05,ENG-02,102.6,65.8,26.3,
2026-04-23 06:18:05,ENG-03,106.6,65.0,25.5,
2026-04-23 06:19:05,ENG-01,107.7,65.2,25.4,
2026-04-23 06:20:05,ENG-02,102.7,65.6,26.5,
2026-04-23 06:21:05,ENG-03,107.8,66.1,24.9,
2026-04-23 06:22:05,ENG-01,104.5,65.8,24.6,
2026-04-23 06:23:05,ENG-02,106.3,65.2,26.2,
2026-04-23 06:24:05,ENG-03,105.1,66.3,24.1,
2026-04-23 06:25:05,ENG-01,105.6,66.0,26.0,
2026-04-23 06:26:05,ENG-02,107.9,65.0,25.5,
2026-04-23 06:27:05,ENG-03,104.4,65.1,27.2,
2026-04-23 06:28:05,ENG-01,106.8,67.3,24.7,
2026-04-23 06:29:05,ENG-02,106.8,65.8,27.9,
