Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:31:44,ENG-01,104.7,66.9,25.6,
2026-04-23 05:32:44,ENG-02,107.2,66.4,27.9,
2026-04-23 05:33:44,ENG-03,107.2,67.9,26.8,
2026-04-23 05:34:44,ENG-01,102.8,64.9,26.5,
2026-04-23 05:35:44,ENG-02,104.6,64.4,27.9,
2026-04-23 05:36:44,ENG-03,105.0,64.1,25.2,
2026-04-23 05:37:44,ENG-01,104.0,67.0,26.2,
2026-04-23 05:38:44,ENG-02,105.0,66.5,26.0,
2026-04-23 05:39:44,ENG-03,103.5,64.7,25.6,
2026-04-23 05:40:44,ENG-01,103.5,64.8,26.5,
2026-04-23 05:41:44,ENG-02,106.1,67.5,25.5,
2026-04-23 05:42:44,ENG-03,106.9,67.9,27.0,
2026-04-23 05:43:44,ENG-01,106.3,65.9,24.1,
2026-04-23 05:44:44,ENG-02,104.7,66.1,25.2,
2026-04-23 05:45:44,ENG-03,105.6,66.3,24.8,
2026-04-23 05:46:44,ENG-01,107.2,67.6,26.7,
2026-04-23 05:47:44,ENG-02,107.8,64.0,27.0,
2026-04-23 05:48:44,ENG-03,107.5,64.2,27.4,
2026-04-23 05:49:44,ENG-01,106.6,67.5,27.8,
2026-04-23 05:50:44,ENG-02,103.6,65.0,26.3,
2026-04-23 05:51:44,ENG-03,103.0,65.8,26.0,
2026-04-23 05:52:44,ENG-01,106.0,64.1,24.1,
2026-04-23 05:53:44,ENG-02,107.3,67.8,27.7,
2026-04-23 05:54:44,ENG-03,102.8,64.5,26.2,
2026-04-23 05:55:44,ENG-01,103.7,65.6,26.2,
2026-04-23 05:56:44,ENG-02,106.6,65.1,27.8,
2026-04-23 05:57:44,ENG-03,103.6,64.1,24.6,
2026-04-23 05:58:44,ENG-01,103.4,65.3,24.6,
2026-04-23 05:59:44,ENG-02,103.3,67.1,24.2,
2026-04-23 06:00:44,ENG-03,106.4,64.2,24.5,
2026-04-23 06:01:44,ENG-01,107.2,67.6,27.3,
2026-04-23 06:02:44,ENG-02,106.4,64.5,27.5,
2026-04-23 06:03:44,ENG-03,106.0,65.2,25.6,
2026-04-23 06:04:44,ENG-01,105.9,67.6,27.3,
2026-04-23 06:05:44,ENG-02,103.8,66.7,25.4,
2026-04-23 06:06:44,ENG-03,103.1,65.2,24.1,
2026-04-23 06:07:44,ENG-01,104.3,65.7,27.6,
2026-04-23 06:08:44,ENG-02,102.7,67.3,25.9,
2026-04-23 06:09:44,ENG-03,106.2,64.8,26.9,
2026-04-23 06:10:44,ENG-01,102.0,66.7,26.3,
2026-04-23 06:11:44,ENG-02,107.4,65.8,24.0,
2026-04-23 06:12:44,ENG-03,105.6,66.6,26.7,
2026-04-23 06:13:44,ENG-01,107.5,64.8,24.1,
2026-04-23 06:14:44,ENG-02,106.2,64.6,24.2,
2026-04-23 06:15:44,ENG-03,104.3,65.7,25.0,
2026-04-23 06:16:44,ENG-01,103.2,66.6,25.8,
2026-04-23 06:17:44,ENG-02,102.2,66.0,28.0,
2026-04-23 06:18:44,ENG-03,106.0,67.7,27.5,
2026-04-23 06:19:44,ENG-01,106.4,65.0,24.6,
2026-04-23 06:20:44,ENG-02,104.0,64.3,25.6,
2026-04-23 06:21:44,ENG-03,105.2,65.2,26.4,
2026-04-23 06:22:44,ENG-01,102.3,65.1,24.6,
2026-04-23 06:23:44,ENG-02,104.6,64.9,25.6,
2026-04-23 06:24:44,ENG-03,107.2,65.1,26.7,
2026-04-23 06:25:44,ENG-01,102.9,67.9,27.3,
2026-04-23 06:26:44,ENG-02,106.2,68.0,25.9,
2026-04-23 06:27:44,ENG-03,102.5,66.6,26.3,
2026-04-23 06:28:44,ENG-01,103.2,66.1,27.2,
2026-04-23 06:29:44,ENG-02,104.9,66.5,24.5,
2026-04-23 06:30:44,ENG-03,106.5,66.8,26.8,
2026-04-23 06:31:44,ENG-01,107.1,68.0,24.5,
2026-04-23 06:32:44,ENG-02,107.6,65.9,25.9,
2026-04-23 06:33:44,ENG-03,107.2,64.1,26.2,
2026-04-23 06:34:44,ENG-01,106.5,66.2,24.1,
2026-04-23 06:35:44,ENG-02,103.6,66.9,27.3,
2026-04-23 06:36:44,ENG-03,104.1,66.2,25.8,
2026-04-23 06:37:44,ENG-01,106.1,66.5,25.0,
2026-04-23 06:38:44,ENG-02,104.4,67.2,25.4,
2026-04-23 06:39:44,ENG-03,104.2,64.3,27.7,
2026-04-23 06:40:44,ENG-01,106.7,67.7,26.5,
2026-04-23 06:41:44,ENG-02,105.5,64.4,25.0,
2026-04-23 06:42:44,ENG-03,106.6,64.4,25.2,
2026-04-23 06:43:44,ENG-01,104.2,67.8,25.8,
2026-04-23 06:44:44,ENG-02,107.7,65.8,24.4,
2026-04-23 06:45:44,ENG-03,106.5,68.0,27.8,
2026-04-23 06:46:44,ENG-01,102.5,64.3,26.5,
2026-04-23 06:47:44,ENG-02,107.1,64.6,27.9,
2026-04-23 06:48:44,ENG-03,105.6,64.7,24.4,
2026-04-23 06:49:44,ENG-01,107.6,64.7,27.6,
2026-04-23 06:50:44,ENG-02,105.3,66.7,25.9,
2026-04-23 06:51:44,ENG-03,103.3,66.2,25.1,
2026-04-23 06:52:44,ENG-01,102.8,65.4,24.5,
2026-04-23 06:53:44,ENG-02,106.3,64.5,27.6,
2026-04-23 06:54:44,ENG-03,103.3,64.9,25.5,
2026-04-23 06:55:44,ENG-01,104.9,65.2,24.1,
2026-04-23 06:56:44,ENG-02,102.3,65.7,26.0,
2026-04-23 06:57:44,ENG-03,103.8,66.8,25.8,
2026-04-23 06:58:44,ENG-01,104.6,64.2,25.5,
2026-04-23 06:59:44,ENG-02,106.0,65.6,27.5,
2026-04-23 07:00:44,ENG-03,105.2,66.5,24.8,
2026-04-23 07:01:44,ENG-01,107.8,65.6,25.5,
2026-04-23 07:02:44,ENG-02,104.6,67.7,26.9,
2026-04-23 07:03:44,ENG-03,103.6,66.7,25.4,
2026-04-23 07:04:44,ENG-01,102.8,67.3,24.9,
2026-04-23 07:05:44,ENG-02,102.9,64.1,25.2,
2026-04-23 07:06:44,ENG-03,103.3,67.0,26.2,
2026-04-23 07:07:44,ENG-01,106.4,65.3,25.8,
2026-04-23 07:08:44,ENG-02,104.3,66.1,24.8,
2026-04-23 07:09:44,ENG-03,106.0,67.4,26.7,
2026-04-23 07:10:44,ENG-01,105.7,67.6,25.6,
2026-04-23 07:11:44,ENG-02,102.3,65.4,25.3,
2026-04-23 07:12:44,ENG-03,106.0,66.2,25.6,
2026-04-23 07:13:44,ENG-01,103.1,64.6,25.3,
2026-04-23 07:14:44,ENG-02,102.5,65.2,24.5,
2026-04-23 07:15:44,ENG-03,103.0,67.2,26.0,
2026-04-23 07:16:44,ENG-01,106.8,67.0,26.4,
2026-04-23 07:17:44,ENG-02,107.7,66.9,27.5,
2026-04-23 07:18:44,ENG-03,107.6,66.0,25.7,
2026-04-23 07:19:44,ENG-01,103.6,66.6,25.2,
2026-04-23 07:20:44,ENG-02,102.5,67.6,25.2,
2026-04-23 07:21:44,ENG-03,104.1,67.9,26.2,
2026-04-23 07:22:44,ENG-01,107.5,64.3,25.6,
2026-04-23 07:23:44,ENG-02,107.5,66.7,27.5,
2026-04-23 07:24:44,ENG-03,103.6,64.7,25.8,
2026-04-23 07:25:44,ENG-01,102.4,64.3,26.7,
2026-04-23 07:26:44,ENG-02,106.9,66.1,26.3,
2026-04-23 07:27:44,ENG-03,103.3,64.8,27.9,
2026-04-23 07:28:44,ENG-01,102.1,64.1,26.6,
2026-04-23 07:29:44,ENG-02,102.3,65.1,26.5,
2026-04-23 07:30:44,ENG-03,104.5,64.7,26.3,
2026-04-23 07:31:44,ENG-01,103.6,64.2,27.8,
2026-04-23 07:32:44,ENG-02,103.0,64.4,27.0,
2026-04-23 07:33:44,ENG-03,105.9,67.2,26.4,
2026-04-23 07:34:44,ENG-01,106.2,65.6,26.4,
2026-04-23 07:35:44,ENG-02,104.2,67.9,24.3,
2026-04-23 07:36:44,ENG-03,103.2,64.5,25.4,
2026-04-23 07:37:44,ENG-01,104.5,66.6,24.4,
2026-04-23 07:38:44,ENG-02,104.7,67.0,27.4,
