Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:36:45,PL-01,102.7,65.9,26.7,
2026-04-23 05:37:45,PL-02,102.8,64.6,25.4,
2026-04-23 05:38:45,PL-03,107.0,64.2,28.0,
2026-04-23 05:39:45,PL-01,102.2,66.7,27.8,
2026-04-23 05:40:45,PL-02,105.6,64.8,24.1,
2026-04-23 05:41:45,PL-03,107.0,65.4,26.3,
2026-04-23 05:42:45,PL-01,103.1,66.7,25.9,
2026-04-23 05:43:45,PL-02,104.2,64.3,24.6,
2026-04-23 05:44:45,PL-03,107.9,64.5,26.0,
2026-04-23 05:45:45,PL-01,106.8,65.6,24.9,
2026-04-23 05:46:45,PL-02,105.3,64.2,25.6,
2026-04-23 05:47:45,PL-03,102.9,66.6,25.1,
2026-04-23 05:48:45,PL-01,104.7,64.6,27.0,
2026-04-23 05:49:45,PL-02,102.8,65.5,24.4,
2026-04-23 05:50:45,PL-03,106.3,68.0,26.6,
2026-04-23 05:51:45,PL-01,105.5,67.3,24.8,
2026-04-23 05:52:45,PL-02,106.3,64.6,24.8,
2026-04-23 05:53:45,PL-03,107.6,65.9,24.7,
2026-04-23 05:54:45,PL-01,104.6,64.5,26.9,
2026-04-23 05:55:45,PL-02,107.0,65.2,25.5,
2026-04-23 05:56:45,PL-03,104.6,64.0,24.8,
2026-04-23 05:57:45,PL-01,103.2,66.2,25.2,
2026-04-23 05:58:45,PL-02,102.4,66.6,25.7,
2026-04-23 05:59:45,PL-03,103.8,66.2,27.7,
2026-04-23 06:00:45,PL-01,105.0,67.3,27.4,
2026-04-23 06:01:45,PL-02,104.0,66.0,24.3,
2026-04-23 06:02:45,PL-03,107.9,67.0,27.7,
2026-04-23 06:03:45,PL-01,103.1,66.9,26.5,
2026-04-23 06:04:45,PL-02,102.8,66.8,27.8,
2026-04-23 06:05:45,PL-03,105.4,67.2,27.2,
2026-04-23 06:06:45,PL-01,107.7,64.7,24.5,
2026-04-23 06:07:45,PL-02,106.9,65.8,25.4,
2026-04-23 06:08:45,PL-03,106.0,67.9,26.6,
2026-04-23 06:09:45,PL-01,104.0,66.6,27.1,
2026-04-23 06:10:45,PL-02,106.0,65.8,24.6,
2026-04-23 06:11:45,PL-03,106.1,67.1,27.1,
2026-04-23 06:12:45,PL-01,104.9,66.0,27.0,
2026-04-23 06:13:45,PL-02,103.6,67.8,26.5,
2026-04-23 06:14:45,PL-03,105.0,66.3,27.9,
2026-04-23 06:15:45,PL-01,105.3,66.5,26.9,
2026-04-23 06:16:45,PL-02,107.9,67.7,25.9,
2026-04-23 06:17:45,PL-03,106.8,64.2,24.3,
2026-04-23 06:18:45,PL-01,106.6,66.6,26.6,
2026-04-23 06:19:45,PL-02,104.7,66.9,26.7,
2026-04-23 06:20:45,PL-03,104.2,66.2,27.1,
2026-04-23 06:21:45,PL-01,102.8,66.7,26.1,
2026-04-23 06:22:45,PL-02,106.5,67.3,24.8,
2026-04-23 06:23:45,PL-03,103.8,65.0,25.9,
2026-04-23 06:24:45,PL-01,104.1,64.8,25.4,
2026-04-23 06:25:45,PL-02,102.6,67.2,27.5,
2026-04-23 06:26:45,PL-03,106.0,65.8,26.1,
2026-04-23 06:27:45,PL-01,105.2,67.5,26.8,
2026-04-23 06:28:45,PL-02,105.2,65.1,26.1,
2026-04-23 06:29:45,PL-03,107.3,64.9,26.6,
2026-04-23 06:30:45,PL-01,103.9,66.2,27.3,
2026-04-23 06:31:45,PL-02,105.4,64.8,24.7,
2026-04-23 06:32:45,PL-03,104.5,64.3,25.8,
2026-04-23 06:33:45,PL-01,103.9,64.2,26.5,
2026-04-23 06:34:45,PL-02,107.4,65.8,26.6,
2026-04-23 06:35:45,PL-03,102.8,64.9,27.6,
2026-04-23 06:36:45,PL-01,102.1,65.9,26.7,
2026-04-23 06:37:45,PL-02,102.4,64.4,25.9,
2026-04-23 06:38:45,PL-03,104.4,66.2,26.4,
2026-04-23 06:39:45,PL-01,102.1,67.2,25.4,
2026-04-23 06:40:45,PL-02,104.9,67.3,25.9,
2026-04-23 06:41:45,PL-03,103.4,66.5,25.4,
2026-04-23 06:42:45,PL-01,103.8,66.4,27.3,
2026-04-23 06:43:45,PL-02,102.6,65.9,26.6,
2026-04-23 06:44:45,PL-03,104.0,67.1,25.7,
2026-04-23 06:45:45,PL-01,105.9,64.7,25.2,
2026-04-23 06:46:45,PL-02,107.4,66.7,26.6,
2026-04-23 06:47:45,PL-03,103.6,64.8,24.0,
2026-04-23 06:48:45,PL-01,104.3,64.6,25.3,
2026-04-23 06:49:45,PL-02,105.6,65.6,27.0,
2026-04-23 06:50:45,PL-03,105.3,65.2,24.9,
2026-04-23 06:51:45,PL-01,102.6,66.6,27.1,
2026-04-23 06:52:45,PL-02,103.1,67.4,24.5,
2026-04-23 06:53:45,PL-03,103.4,67.9,27.2,
2026-04-23 06:54:45,PL-01,104.9,65.7,24.9,
2026-04-23 06:55:45,PL-02,104.3,64.3,24.6,
2026-04-23 06:56:45,PL-03,103.9,64.4,26.8,
2026-04-23 06:57:45,PL-01,104.4,64.4,26.2,
2026-04-23 06:58:45,PL-02,104.7,67.6,26.5,
2026-04-23 06:59:45,PL-03,104.4,65.8,27.2,
2026-04-23 07:00:45,PL-01,105.5,67.1,25.4,
2026-04-23 07:01:45,PL-02,106.2,67.9,26.5,
2026-04-23 07:02:45,PL-03,102.9,65.9,25.2,
2026-04-23 07:03:45,PL-01,107.1,64.1,27.6,
2026-04-23 07:04:45,PL-02,104.1,64.0,25.4,
2026-04-23 07:05:45,PL-03,106.1,65.8,24.0,
2026-04-23 07:06:45,PL-01,102.0,66.1,24.1,
2026-04-23 07:07:45,PL-02,105.5,66.5,27.8,
2026-04-23 07:08:45,PL-03,105.8,66.9,28.0,
2026-04-23 07:09:45,PL-01,102.8,64.0,27.8,
2026-04-23 07:10:45,PL-02,103.2,67.1,27.9,
2026-04-23 07:11:45,PL-03,103.6,65.1,27.9,
2026-04-23 07:12:45,PL-01,103.8,67.9,26.2,
2026-04-23 07:13:45,PL-02,105.3,67.2,27.2,
2026-04-23 07:14:45,PL-03,107.1,67.9,25.1,
