Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:37:20,PL-01,105.0,64.9,26.3,
2026-04-23 05:38:20,PL-02,107.3,67.9,25.1,
2026-04-23 05:39:20,PL-03,104.8,65.8,26.4,
2026-04-23 05:40:20,PL-01,103.0,67.1,25.2,
2026-04-23 05:41:20,PL-02,107.6,67.5,26.4,
2026-04-23 05:42:20,PL-03,107.0,65.2,27.0,
2026-04-23 05:43:20,PL-01,105.0,65.3,27.9,
2026-04-23 05:44:20,PL-02,104.8,66.1,27.8,
2026-04-23 05:45:20,PL-03,103.5,67.4,27.4,
2026-04-23 05:46:20,PL-01,105.7,65.4,26.8,
2026-04-23 05:47:20,PL-02,106.1,65.3,25.8,
2026-04-23 05:48:20,PL-03,104.1,66.6,24.9,
2026-04-23 05:49:20,PL-01,102.9,67.9,25.8,
2026-04-23 05:50:20,PL-02,103.7,64.8,26.0,
2026-04-23 05:51:20,PL-03,105.1,64.2,26.6,
2026-04-23 05:52:20,PL-01,105.0,65.5,26.8,
2026-04-23 05:53:20,PL-02,105.9,66.9,26.1,
2026-04-23 05:54:20,PL-03,102.9,64.6,26.2,
2026-04-23 05:55:20,PL-01,102.3,65.3,26.8,
2026-04-23 05:56:20,PL-02,107.1,65.1,27.1,
2026-04-23 05:57:20,PL-03,107.0,65.6,25.6,
2026-04-23 05:58:20,PL-01,102.6,66.7,25.1,
2026-04-23 05:59:20,PL-02,102.3,65.3,26.9,
2026-04-23 06:00:20,PL-03,106.1,65.2,25.9,
2026-04-23 06:01:20,PL-01,102.0,64.4,25.0,
2026-04-23 06:02:20,PL-02,105.5,65.1,25.5,
2026-04-23 06:03:20,PL-03,106.9,66.0,24.9,
2026-04-23 06:04:20,PL-01,107.4,67.7,24.7,
2026-04-23 06:05:20,PL-02,107.9,67.9,25.8,
2026-04-23 06:06:20,PL-03,102.2,65.8,26.7,
2026-04-23 06:07:20,PL-01,105.2,66.4,27.1,
2026-04-23 06:08:20,PL-02,103.7,65.2,26.1,
2026-04-23 06:09:20,PL-03,104.0,66.0,24.8,
2026-04-23 06:10:20,PL-01,103.1,65.3,25.2,
2026-04-23 06:11:20,PL-02,102.7,67.2,24.6,
2026-04-23 06:12:20,PL-03,102.3,66.1,24.8,
2026-04-23 06:13:20,PL-01,105.3,66.6,25.8,
2026-04-23 06:14:20,PL-02,104.9,66.1,25.0,
2026-04-23 06:15:20,PL-03,104.5,65.0,26.2,
2026-04-23 06:16:20,PL-01,107.3,66.8,26.4,
2026-04-23 06:17:20,PL-02,107.5,64.6,24.7,
2026-04-23 06:18:20,PL-03,104.8,67.3,25.0,
2026-04-23 06:19:20,PL-01,104.4,64.3,24.6,
2026-04-23 06:20:20,PL-02,105.5,66.8,26.1,
2026-04-23 06:21:20,PL-03,103.7,66.0,26.5,
2026-04-23 06:22:20,PL-01,105.4,65.8,24.8,
2026-04-23 06:23:20,PL-02,102.6,67.6,27.6,
2026-04-23 06:24:20,PL-03,107.2,66.2,24.8,
2026-04-23 06:25:20,PL-01,107.6,67.8,26.2,
2026-04-23 06:26:20,PL-02,104.9,67.5,25.9,
2026-04-23 06:27:20,PL-03,102.1,64.4,25.9,
2026-04-23 06:28:20,PL-01,103.0,67.2,27.3,
2026-04-23 06:29:20,PL-02,106.8,64.2,26.6,
2026-04-23 06:30:20,PL-03,105.9,66.1,24.2,
2026-04-23 06:31:20,PL-01,107.9,67.8,26.3,
2026-04-23 06:32:20,PL-02,106.1,66.4,27.5,
2026-04-23 06:33:20,PL-03,106.3,64.1,27.2,
2026-04-23 06:34:20,PL-01,102.9,66.2,25.4,
2026-04-23 06:35:20,PL-02,103.6,64.6,24.9,
2026-04-23 06:36:20,PL-03,104.5,67.3,27.4,
2026-04-23 06:37:20,PL-01,107.7,64.8,25.7,
2026-04-23 06:38:20,PL-02,103.7,65.5,27.4,
2026-04-23 06:39:20,PL-03,102.5,66.4,27.6,
2026-04-23 06:40:20,PL-01,105.4,66.3,24.1,
2026-04-23 06:41:20,PL-02,106.1,67.7,25.4,
2026-04-23 06:42:20,PL-03,104.6,67.9,26.6,
2026-04-23 06:43:20,PL-01,103.7,64.9,25.1,
2026-04-23 06:44:20,PL-02,102.5,66.4,25.3,
2026-04-23 06:45:20,PL-03,107.5,66.6,25.2,
2026-04-23 06:46:20,PL-01,102.4,67.4,27.0,
2026-04-23 06:47:20,PL-02,103.3,68.0,24.2,
2026-04-23 06:48:20,PL-03,106.9,66.8,27.9,
2026-04-23 06:49:20,PL-01,107.8,65.9,26.8,
2026-04-23 06:50:20,PL-02,106.8,67.3,27.7,
2026-04-23 06:51:20,PL-03,104.4,65.4,24.5,
2026-04-23 06:52:20,PL-01,104.8,66.4,24.9,
