Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:38:00,PL-01,104.0,64.4,25.2,
2026-04-23 05:39:00,PL-02,104.5,64.5,24.4,
2026-04-23 05:40:00,PL-03,106.0,67.5,26.6,
2026-04-23 05:41:00,PL-01,104.4,67.9,25.3,
2026-04-23 05:42:00,PL-02,107.6,67.6,26.5,
2026-04-23 05:43:00,PL-03,103.8,66.6,24.4,
2026-04-23 05:44:00,PL-01,102.5,64.7,26.0,
2026-04-23 05:45:00,PL-02,103.3,65.4,26.8,
2026-04-23 05:46:00,PL-03,103.4,66.0,26.6,
2026-04-23 05:47:00,PL-01,106.2,67.8,25.9,
2026-04-23 05:48:00,PL-02,103.5,66.5,25.6,
2026-04-23 05:49:00,PL-03,106.6,64.7,25.7,
2026-04-23 05:50:00,PL-01,107.7,66.5,27.8,
2026-04-23 05:51:00,PL-02,106.2,65.9,27.5,
2026-04-23 05:52:00,PL-03,103.4,65.0,25.8,
2026-04-23 05:53:00,PL-01,103.5,64.0,25.5,
2026-04-23 05:54:00,PL-02,102.7,64.8,27.9,
2026-04-23 05:55:00,PL-03,105.7,68.0,24.3,
2026-04-23 05:56:00,PL-01,104.1,64.2,26.7,
2026-04-23 05:57:00,PL-02,103.2,65.7,24.2,
2026-04-23 05:58:00,PL-03,107.2,66.6,27.2,
2026-04-23 05:59:00,PL-01,103.7,66.9,24.9,
2026-04-23 06:00:00,PL-02,103.9,67.8,26.2,
2026-04-23 06:01:00,PL-03,102.8,65.7,26.5,
2026-04-23 06:02:00,PL-01,104.5,66.5,24.1,
2026-04-23 06:03:00,PL-02,106.6,66.3,26.1,
2026-04-23 06:04:00,PL-03,102.1,66.3,26.3,
2026-04-23 06:05:00,PL-01,107.2,65.7,26.8,
2026-04-23 06:06:00,PL-02,106.2,64.4,26.6,
2026-04-23 06:07:00,PL-03,102.5,66.7,25.6,
2026-04-23 06:08:00,PL-01,102.8,67.5,24.1,
2026-04-23 06:09:00,PL-02,105.4,67.6,24.7,
2026-04-23 06:10:00,PL-03,106.4,64.5,26.5,
2026-04-23 06:11:00,PL-01,102.8,64.7,24.5,
2026-04-23 06:12:00,PL-02,102.2,64.5,26.0,
2026-04-23 06:13:00,PL-03,106.7,64.4,26.0,
2026-04-23 06:14:00,PL-01,105.2,67.0,24.4,
2026-04-23 06:15:00,PL-02,102.5,66.7,26.1,
2026-04-23 06:16:00,PL-03,106.9,65.5,24.6,
2026-04-23 06:17:00,PL-01,107.8,67.9,24.3,
2026-04-23 06:18:00,PL-02,105.2,65.8,27.5,
2026-04-23 06:19:00,PL-03,104.4,67.5,25.1,
2026-04-23 06:20:00,PL-01,104.0,64.1,27.4,
2026-04-23 06:21:00,PL-02,107.2,67.1,25.4,
2026-04-23 06:22:00,PL-03,102.6,65.3,26.4,
2026-04-23 06:23:00,PL-01,107.9,64.7,24.7,
2026-04-23 06:24:00,PL-02,102.6,65.1,25.9,
2026-04-23 06:25:00,PL-03,102.8,66.3,24.1,
2026-04-23 06:26:00,PL-01,105.2,66.3,25.8,
2026-04-23 06:27:00,PL-02,103.8,65.8,26.5,
2026-04-23 06:28:00,PL-03,104.4,66.5,24.2,
2026-04-23 06:29:00,PL-01,107.5,66.8,27.3,
2026-04-23 06:30:00,PL-02,103.2,67.5,27.6,
2026-04-23 06:31:00,PL-03,103.8,67.1,26.2,
2026-04-23 06:32:00,PL-01,103.5,64.8,26.2,
2026-04-23 06:33:00,PL-02,106.1,65.8,24.1,
2026-04-23 06:34:00,PL-03,105.9,67.3,27.0,
2026-04-23 06:35:00,PL-01,104.2,65.8,24.1,
2026-04-23 06:36:00,PL-02,102.6,66.1,24.2,
2026-04-23 06:37:00,PL-03,103.0,66.7,27.9,
2026-04-23 06:38:00,PL-01,103.5,65.8,26.4,
2026-04-23 06:39:00,PL-02,106.0,67.5,25.7,
2026-04-23 06:40:00,PL-03,103.6,65.9,25.2,
2026-04-23 06:41:00,PL-01,102.8,66.8,24.5,
2026-04-23 06:42:00,PL-02,104.2,67.2,24.1,
2026-04-23 06:43:00,PL-03,107.6,65.0,27.5,
2026-04-23 06:44:00,PL-01,103.3,67.6,27.0,
2026-04-23 06:45:00,PL-02,102.3,65.8,26.9,
2026-04-23 06:46:00,PL-03,105.4,64.1,27.9,
2026-04-23 06:47:00,PL-01,103.1,65.8,27.8,
2026-04-23 06:48:00,PL-02,105.4,64.3,24.0,
2026-04-23 06:49:00,PL-03,103.7,66.2,27.2,
2026-04-23 06:50:00,PL-01,104.1,66.8,27.2,
2026-04-23 06:51:00,PL-02,107.1,64.8,26.4,
2026-04-23 06:52:00,PL-03,102.8,67.1,26.2,
2026-04-23 06:53:00,PL-01,104.7,67.5,24.3,
2026-04-23 06:54:00,PL-02,104.7,64.0,26.2,
2026-04-23 06:55:00,PL-03,107.4,66.4,27.4,
2026-04-23 06:56:00,PL-01,107.8,65.5,25.2,
2026-04-23 06:57:00,PL-02,105.4,67.5,25.9,
2026-04-23 06:58:00,PL-03,106.7,66.5,27.1,
2026-04-23 06:59:00,PL-01,105.7,67.2,24.1,
2026-04-23 07:00:00,PL-02,104.5,67.1,27.6,
2026-04-23 07:01:00,PL-03,102.1,66.7,24.7,
2026-04-23 07:02:00,PL-01,107.6,64.2,26.5,
2026-04-23 07:03:00,PL-02,106.8,66.7,27.8,
2026-04-23 07:04:00,PL-03,103.0,67.4,24.1,
2026-04-23 07:05:00,PL-01,104.2,66.6,24.0,
2026-04-23 07:06:00,PL-02,102.0,65.1,25.9,
2026-04-23 07:07:00,PL-03,102.7,65.1,24.3,
2026-04-23 07:08:00,PL-01,107.2,66.5,24.1,
2026-04-23 07:09:00,PL-02,107.8,65.5,25.8,
2026-04-23 07:10:00,PL-03,107.3,66.4,25.9,
2026-04-23 07:11:00,PL-01,107.4,67.6,25.2,
2026-04-23 07:12:00,PL-02,104.8,68.0,24.3,
2026-04-23 07:13:00,PL-03,104.5,64.6,24.9,
2026-04-23 07:14:00,PL-01,102.9,65.3,24.6,
2026-04-23 07:15:00,PL-02,105.0,65.5,27.1,
2026-04-23 07:16:00,PL-03,103.8,65.9,24.8,
2026-04-23 07:17:00,PL-01,105.4,66.6,27.8,
2026-04-23 07:18:00,PL-02,103.5,64.6,25.4,
2026-04-23 07:19:00,PL-03,104.9,65.4,26.4,
2026-04-23 07:20:00,PL-01,102.4,67.2,27.9,
2026-04-23 07:21:00,PL-02,107.3,65.1,26.4,
2026-04-23 07:22:00,PL-03,103.6,67.4,27.5,
2026-04-23 07:23:00,PL-01,103.1,66.6,24.3,
2026-04-23 07:24:00,PL-02,107.0,66.6,25.2,
2026-04-23 07:25:00,PL-03,106.8,66.9,27.4,
2026-04-23 07:26:00,PL-01,102.1,67.4,27.9,
2026-04-23 07:27:00,PL-02,102.5,67.0,24.3,
2026-04-23 07:28:00,PL-03,106.8,66.7,24.8,
2026-04-23 07:29:00,PL-01,105.6,64.5,26.8,
