Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:35:30,PUM-01,104.4,64.6,26.2,
2026-04-23 05:36:30,PUM-02,103.3,65.7,26.7,
2026-04-23 05:37:30,PUM-03,103.4,66.2,26.8,
2026-04-23 05:38:30,PUM-01,102.0,67.2,26.7,
2026-04-23 05:39:30,PUM-02,105.8,67.5,25.1,
2026-04-23 05:40:30,PUM-03,102.9,67.6,27.7,
2026-04-23 05:41:30,PUM-01,102.8,65.9,27.2,
2026-04-23 05:42:30,PUM-02,107.8,67.9,24.5,
2026-04-23 05:43:30,PUM-03,104.6,65.3,24.9,
2026-04-23 05:44:30,PUM-01,106.7,66.8,26.0,
2026-04-23 05:45:30,PUM-02,103.0,67.9,25.8,
2026-04-23 05:46:30,PUM-03,107.2,66.0,25.9,
2026-04-23 05:47:30,PUM-01,104.7,66.2,27.5,
2026-04-23 05:48:30,PUM-02,105.0,68.0,27.0,
2026-04-23 05:49:30,PUM-03,105.1,65.6,26.3,
2026-04-23 05:50:30,PUM-01,102.0,65.8,24.5,
2026-04-23 05:51:30,PUM-02,107.7,67.1,26.7,
2026-04-23 05:52:30,PUM-03,105.8,67.0,27.2,
2026-04-23 05:53:30,PUM-01,104.7,64.0,26.0,
2026-04-23 05:54:30,PUM-02,107.9,66.4,26.0,
2026-04-23 05:55:30,PUM-03,107.6,64.1,26.3,
2026-04-23 05:56:30,PUM-01,104.1,65.3,27.6,
2026-04-23 05:57:30,PUM-02,107.8,66.1,25.1,
2026-04-23 05:58:30,PUM-03,104.5,64.2,25.7,
2026-04-23 05:59:30,PUM-01,107.6,66.6,27.9,
2026-04-23 06:00:30,PUM-02,104.6,64.0,24.5,
2026-04-23 06:01:30,PUM-03,103.0,66.3,26.8,
2026-04-23 06:02:30,PUM-01,103.5,64.1,24.9,
2026-04-23 06:03:30,PUM-02,106.1,66.5,24.6,
2026-04-23 06:04:30,PUM-03,107.0,64.1,26.1,
2026-04-23 06:05:30,PUM-01,102.8,65.7,27.8,
2026-04-23 06:06:30,PUM-02,105.4,67.3,25.5,
2026-04-23 06:07:30,PUM-03,103.3,64.6,24.9,
2026-04-23 06:08:30,PUM-01,105.4,66.9,26.4,
2026-04-23 06:09:30,PUM-02,105.0,67.8,26.1,
2026-04-23 06:10:30,PUM-03,106.0,66.4,28.0,
2026-04-23 06:11:30,PUM-01,105.3,67.0,25.6,
2026-04-23 06:12:30,PUM-02,104.3,65.2,26.7,
2026-04-23 06:13:30,PUM-03,104.5,66.9,24.7,
2026-04-23 06:14:30,PUM-01,106.3,66.0,25.3,
2026-04-23 06:15:30,PUM-02,105.6,66.6,26.2,
2026-04-23 06:16:30,PUM-03,102.2,66.9,26.9,
2026-04-23 06:17:30,PUM-01,107.3,65.4,27.3,
2026-04-23 06:18:30,PUM-02,106.6,66.0,26.8,
2026-04-23 06:19:30,PUM-03,102.0,64.3,27.8,
2026-04-23 06:20:30,PUM-01,107.5,66.9,26.9,
2026-04-23 06:21:30,PUM-02,105.9,64.5,24.2,
2026-04-23 06:22:30,PUM-03,105.5,66.2,27.6,
2026-04-23 06:23:30,PUM-01,103.8,64.4,27.7,
2026-04-23 06:24:30,PUM-02,105.2,64.6,25.8,
2026-04-23 06:25:30,PUM-03,103.2,67.2,27.9,
2026-04-23 06:26:30,PUM-01,104.5,67.3,26.2,
2026-04-23 06:27:30,PUM-02,105.9,67.2,26.7,
2026-04-23 06:28:30,PUM-03,104.4,67.9,27.3,
2026-04-23 06:29:30,PUM-01,103.2,67.0,27.6,
2026-04-23 06:30:30,PUM-02,106.7,66.1,26.8,
2026-04-23 06:31:30,PUM-03,104.0,65.0,24.6,
2026-04-23 06:32:30,PUM-01,102.3,66.4,24.1,
2026-04-23 06:33:30,PUM-02,103.5,67.7,25.3,
2026-04-23 06:34:30,PUM-03,107.4,65.8,24.4,
2026-04-23 06:35:30,PUM-01,103.7,64.1,24.4,
2026-04-23 06:36:30,PUM-02,103.6,66.0,25.9,
2026-04-23 06:37:30,PUM-03,106.0,64.4,24.5,
2026-04-23 06:38:30,PUM-01,103.8,65.5,24.5,
2026-04-23 06:39:30,PUM-02,106.6,66.3,27.6,
2026-04-23 06:40:30,PUM-03,106.3,65.9,27.0,
2026-04-23 06:41:30,PUM-01,106.4,64.5,24.9,
2026-04-23 06:42:30,PUM-02,105.8,67.2,24.9,
2026-04-23 06:43:30,PUM-03,105.6,66.1,26.0,
2026-04-23 06:44:30,PUM-01,102.2,64.6,25.8,
2026-04-23 06:45:30,PUM-02,102.8,64.5,24.1,
2026-04-23 06:46:30,PUM-03,104.0,66.0,24.4,
2026-04-23 06:47:30,PUM-01,102.8,66.2,24.1,
2026-04-23 06:48:30,PUM-02,102.0,67.8,26.9,
2026-04-23 06:49:30,PUM-03,104.4,65.5,27.1,
2026-04-23 06:50:30,PUM-01,107.5,65.6,26.0,
2026-04-23 06:51:30,PUM-02,104.2,65.4,25.0,
2026-04-23 06:52:30,PUM-03,105.3,64.5,27.5,
2026-04-23 06:53:30,PUM-01,105.1,67.2,25.6,
2026-04-23 06:54:30,PUM-02,106.3,65.5,24.0,
2026-04-23 06:55:30,PUM-03,106.9,65.4,24.4,
2026-04-23 06:56:30,PUM-01,105.7,67.0,25.1,
