Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:33:42,PUM-01,104.7,65.3,26.2,
2026-04-23 05:34:42,PUM-02,107.8,67.4,26.5,
2026-04-23 05:35:42,PUM-03,103.3,65.7,26.1,
2026-04-23 05:36:42,PUM-01,103.3,66.4,27.6,
2026-04-23 05:37:42,PUM-02,102.0,66.0,27.1,
2026-04-23 05:38:42,PUM-03,102.6,66.0,24.1,
2026-04-23 05:39:42,PUM-01,103.7,67.1,25.4,
2026-04-23 05:40:42,PUM-02,106.0,66.8,27.3,
2026-04-23 05:41:42,PUM-03,107.7,65.2,25.0,
2026-04-23 05:42:42,PUM-01,106.4,66.9,25.4,
2026-04-23 05:43:42,PUM-02,107.0,66.3,25.7,
2026-04-23 05:44:42,PUM-03,103.7,66.4,24.0,
2026-04-23 05:45:42,PUM-01,103.6,65.7,24.7,
2026-04-23 05:46:42,PUM-02,104.4,65.1,24.1,
2026-04-23 05:47:42,PUM-03,106.7,66.8,25.7,
2026-04-23 05:48:42,PUM-01,107.1,65.7,25.3,
2026-04-23 05:49:42,PUM-02,105.1,66.5,27.5,
2026-04-23 05:50:42,PUM-03,104.4,67.2,26.5,
2026-04-23 05:51:42,PUM-01,104.1,67.5,27.2,
2026-04-23 05:52:42,PUM-02,104.4,65.8,27.2,
2026-04-23 05:53:42,PUM-03,106.1,67.8,26.0,
2026-04-23 05:54:42,PUM-01,105.0,67.3,25.9,
2026-04-23 05:55:42,PUM-02,105.8,68.0,27.8,
2026-04-23 05:56:42,PUM-03,104.3,64.4,27.1,
2026-04-23 05:57:42,PUM-01,102.6,64.0,27.4,
2026-04-23 05:58:42,PUM-02,103.2,67.7,27.8,
2026-04-23 05:59:42,PUM-03,107.4,67.3,27.9,
2026-04-23 06:00:42,PUM-01,107.4,67.2,27.8,
2026-04-23 06:01:42,PUM-02,105.2,64.3,25.6,
2026-04-23 06:02:42,PUM-03,106.2,67.0,26.5,
2026-04-23 06:03:42,PUM-01,106.8,67.6,26.1,
2026-04-23 06:04:42,PUM-02,107.4,67.7,26.7,
2026-04-23 06:05:42,PUM-03,103.0,67.9,27.6,
2026-04-23 06:06:42,PUM-01,102.5,66.9,27.7,
2026-04-23 06:07:42,PUM-02,104.2,67.1,27.0,
2026-04-23 06:08:42,PUM-03,105.2,66.7,25.6,
2026-04-23 06:09:42,PUM-01,102.9,66.1,26.9,
2026-04-23 06:10:42,PUM-02,102.5,64.4,25.7,
2026-04-23 06:11:42,PUM-03,104.4,66.7,27.6,
2026-04-23 06:12:42,PUM-01,105.9,66.8,27.5,
2026-04-23 06:13:42,PUM-02,103.6,67.4,25.3,
2026-04-23 06:14:42,PUM-03,102.3,64.8,24.0,
2026-04-23 06:15:42,PUM-01,106.0,65.5,26.7,
2026-04-23 06:16:42,PUM-02,106.5,67.6,26.9,
2026-04-23 06:17:42,PUM-03,106.8,67.9,24.7,
2026-04-23 06:18:42,PUM-01,107.7,64.9,27.6,
2026-04-23 06:19:42,PUM-02,102.6,67.4,27.4,
2026-04-23 06:20:42,PUM-03,103.6,67.4,24.3,
2026-04-23 06:21:42,PUM-01,102.4,64.6,25.9,
2026-04-23 06:22:42,PUM-02,102.4,65.0,24.3,
2026-04-23 06:23:42,PUM-03,106.8,64.0,26.9,
2026-04-23 06:24:42,PUM-01,106.9,67.8,24.1,
2026-04-23 06:25:42,PUM-02,105.1,67.9,27.8,
2026-04-23 06:26:42,PUM-03,106.4,64.5,27.5,
2026-04-23 06:27:42,PUM-01,105.6,65.5,25.4,
2026-04-23 06:28:42,PUM-02,106.5,65.3,27.8,
2026-04-23 06:29:42,PUM-03,104.5,66.5,24.8,
2026-04-23 06:30:42,PUM-01,107.7,65.5,27.3,
2026-04-23 06:31:42,PUM-02,106.3,65.6,25.2,
2026-04-23 06:32:42,PUM-03,107.9,64.5,26.8,
2026-04-23 06:33:42,PUM-01,106.3,67.0,27.1,
2026-04-23 06:34:42,PUM-02,106.8,64.8,24.6,
2026-04-23 06:35:42,PUM-03,105.6,64.5,25.0,
2026-04-23 06:36:42,PUM-01,106.3,64.8,24.2,
2026-04-23 06:37:42,PUM-02,104.1,65.6,26.1,
2026-04-23 06:38:42,PUM-03,105.7,67.6,28.0,
2026-04-23 06:39:42,PUM-01,105.4,64.9,25.4,
2026-04-23 06:40:42,PUM-02,105.6,64.9,24.0,
2026-04-23 06:41:42,PUM-03,104.1,66.6,26.2,
2026-04-23 06:42:42,PUM-01,102.0,67.9,24.4,
2026-04-23 06:43:42,PUM-02,107.0,64.1,25.4,
2026-04-23 06:44:42,PUM-03,105.5,65.7,25.0,
2026-04-23 06:45:42,PUM-01,103.1,65.8,26.8,
2026-04-23 06:46:42,PUM-02,105.8,64.3,24.2,
2026-04-23 06:47:42,PUM-03,107.9,65.7,26.6,
2026-04-23 06:48:42,PUM-01,104.5,65.8,26.8,
2026-04-23 06:49:42,PUM-02,107.1,66.8,26.6,
2026-04-23 06:50:42,PUM-03,103.0,66.4,26.4,
2026-04-23 06:51:42,PUM-01,105.0,64.5,24.4,
2026-04-23 06:52:42,PUM-02,102.7,64.3,25.2,
2026-04-23 06:53:42,PUM-03,102.7,67.4,26.8,
2026-04-23 06:54:42,PUM-01,102.8,67.1,24.1,
2026-04-23 06:55:42,PUM-02,103.9,67.7,24.2,
2026-04-23 06:56:42,PUM-03,107.4,65.3,27.2,
2026-04-23 06:57:42,PUM-01,106.6,67.8,27.4,
2026-04-23 06:58:42,PUM-02,105.3,67.9,24.2,
2026-04-23 06:59:42,PUM-03,107.1,66.2,27.5,
2026-04-23 07:00:42,PUM-01,103.7,67.9,26.8,
2026-04-23 07:01:42,PUM-02,107.2,66.4,24.1,
2026-04-23 07:02:42,PUM-03,103.7,66.1,27.2,
2026-04-23 07:03:42,PUM-01,107.7,65.8,27.5,
2026-04-23 07:04:42,PUM-02,107.7,64.0,25.8,
2026-04-23 07:05:42,PUM-03,104.3,67.9,26.8,
