Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:34:20,PUM-01,105.3,66.3,26.8,
2026-04-23 05:35:20,PUM-02,102.2,67.3,27.7,
2026-04-23 05:36:20,PUM-03,107.5,66.1,27.4,
2026-04-23 05:37:20,PUM-01,102.6,64.8,26.5,
2026-04-23 05:38:20,PUM-02,108.0,64.2,25.0,
2026-04-23 05:39:20,PUM-03,105.6,65.1,25.5,
2026-04-23 05:40:20,PUM-01,105.7,65.1,26.7,
2026-04-23 05:41:20,PUM-02,104.7,66.3,25.5,
2026-04-23 05:42:20,PUM-03,103.4,66.4,24.4,
2026-04-23 05:43:20,PUM-01,107.8,67.9,25.9,
2026-04-23 05:44:20,PUM-02,104.0,64.1,25.8,
2026-04-23 05:45:20,PUM-03,108.0,67.3,24.4,
2026-04-23 05:46:20,PUM-01,105.3,64.4,27.4,
2026-04-23 05:47:20,PUM-02,103.1,66.6,27.5,
2026-04-23 05:48:20,PUM-03,104.0,68.0,25.7,
2026-04-23 05:49:20,PUM-01,102.9,67.9,26.1,
2026-04-23 05:50:20,PUM-02,106.2,65.1,26.2,
2026-04-23 05:51:20,PUM-03,108.0,66.9,27.7,
2026-04-23 05:52:20,PUM-01,105.6,64.5,25.5,
2026-04-23 05:53:20,PUM-02,103.9,66.9,27.9,
2026-04-23 05:54:20,PUM-03,103.9,66.3,26.7,
2026-04-23 05:55:20,PUM-01,106.8,64.3,27.8,
2026-04-23 05:56:20,PUM-02,106.2,67.7,26.7,
2026-04-23 05:57:20,PUM-03,105.8,65.5,27.2,
2026-04-23 05:58:20,PUM-01,105.4,65.3,26.7,
2026-04-23 05:59:20,PUM-02,103.5,64.1,25.6,
2026-04-23 06:00:20,PUM-03,102.6,67.1,24.1,
2026-04-23 06:01:20,PUM-01,104.7,67.5,25.6,
2026-04-23 06:02:20,PUM-02,107.8,68.0,25.5,
2026-04-23 06:03:20,PUM-03,104.8,64.8,25.0,
2026-04-23 06:04:20,PUM-01,104.9,67.5,25.9,
2026-04-23 06:05:20,PUM-02,106.4,65.9,27.4,
2026-04-23 06:06:20,PUM-03,102.2,65.0,24.3,
2026-04-23 06:07:20,PUM-01,103.0,65.4,26.5,
2026-04-23 06:08:20,PUM-02,104.4,67.7,25.5,
2026-04-23 06:09:20,PUM-03,103.9,65.2,26.1,
2026-04-23 06:10:20,PUM-01,103.2,65.2,26.4,
2026-04-23 06:11:20,PUM-02,105.1,66.5,25.0,
2026-04-23 06:12:20,PUM-03,103.0,67.9,26.9,
2026-04-23 06:13:20,PUM-01,105.4,66.7,26.5,
2026-04-23 06:14:20,PUM-02,105.9,65.2,24.8,
2026-04-23 06:15:20,PUM-03,108.0,66.2,25.0,
2026-04-23 06:16:20,PUM-01,106.8,65.0,27.3,
2026-04-23 06:17:20,PUM-02,107.0,65.3,24.7,
2026-04-23 06:18:20,PUM-03,105.5,67.6,27.0,
2026-04-23 06:19:20,PUM-01,106.8,66.1,25.3,
2026-04-23 06:20:20,PUM-02,104.1,66.1,24.8,
2026-04-23 06:21:20,PUM-03,107.7,67.3,26.1,
2026-04-23 06:22:20,PUM-01,107.0,64.1,24.2,
2026-04-23 06:23:20,PUM-02,106.2,65.8,26.5,
2026-04-23 06:24:20,PUM-03,105.4,64.7,26.6,
2026-04-23 06:25:20,PUM-01,106.6,64.2,25.5,
2026-04-23 06:26:20,PUM-02,102.2,65.7,24.0,
2026-04-23 06:27:20,PUM-03,104.7,67.0,27.6,
2026-04-23 06:28:20,PUM-01,105.6,65.8,27.0,
2026-04-23 06:29:20,PUM-02,104.5,66.7,27.3,
2026-04-23 06:30:20,PUM-03,105.6,64.0,27.4,
2026-04-23 06:31:20,PUM-01,106.2,67.6,24.5,
2026-04-23 06:32:20,PUM-02,102.1,65.8,24.0,
2026-04-23 06:33:20,PUM-03,107.0,65.6,24.5,
2026-04-23 06:34:20,PUM-01,105.6,64.9,25.6,
2026-04-23 06:35:20,PUM-02,105.9,64.4,24.4,
2026-04-23 06:36:20,PUM-03,103.1,65.6,27.6,
2026-04-23 06:37:20,PUM-01,106.5,67.8,24.4,
2026-04-23 06:38:20,PUM-02,104.4,66.9,25.6,
2026-04-23 06:39:20,PUM-03,107.7,67.0,25.9,
2026-04-23 06:40:20,PUM-01,107.9,65.3,26.4,
2026-04-23 06:41:20,PUM-02,105.6,64.8,27.0,
2026-04-23 06:42:20,PUM-03,104.1,67.1,26.9,
2026-04-23 06:43:20,PUM-01,104.0,64.4,24.2,
2026-04-23 06:44:20,PUM-02,103.5,65.7,24.3,
2026-04-23 06:45:20,PUM-03,105.4,65.9,27.9,
2026-04-23 06:46:20,PUM-01,106.8,65.4,27.4,
2026-04-23 06:47:20,PUM-02,105.0,65.0,26.0,
2026-04-23 06:48:20,PUM-03,107.0,64.4,27.7,
2026-04-23 06:49:20,PUM-01,107.5,65.6,26.6,
2026-04-23 06:50:20,PUM-02,106.9,66.1,26.8,
2026-04-23 06:51:20,PUM-03,102.7,65.3,26.7,
2026-04-23 06:52:20,PUM-01,104.7,66.3,27.4,
2026-04-23 06:53:20,PUM-02,107.1,66.0,27.1,
2026-04-23 06:54:20,PUM-03,103.5,64.4,27.7,
2026-04-23 06:55:20,PUM-01,102.5,65.5,25.2,
2026-04-23 06:56:20,PUM-02,104.7,67.4,26.3,
2026-04-23 06:57:20,PUM-03,106.8,65.5,25.1,
2026-04-23 06:58:20,PUM-01,102.1,64.6,24.9,
2026-04-23 06:59:20,PUM-02,102.1,66.6,25.7,
2026-04-23 07:00:20,PUM-03,103.7,66.6,25.9,
2026-04-23 07:01:20,PUM-01,104.5,65.5,27.9,
2026-04-23 07:02:20,PUM-02,105.4,64.2,25.5,
2026-04-23 07:03:20,PUM-03,106.1,66.8,24.2,
2026-04-23 07:04:20,PUM-01,107.7,64.1,24.2,
2026-04-23 07:05:20,PUM-02,104.3,67.8,26.1,
2026-04-23 07:06:20,PUM-03,107.8,66.7,26.8,
2026-04-23 07:07:20,PUM-01,102.6,66.7,24.0,
2026-04-23 07:08:20,PUM-02,106.2,66.1,24.2,
2026-04-23 07:09:20,PUM-03,106.0,66.5,25.0,
2026-04-23 07:10:20,PUM-01,106.7,66.5,26.9,
2026-04-23 07:11:20,PUM-02,107.3,67.7,26.5,
2026-04-23 07:12:20,PUM-03,103.3,67.2,25.2,
2026-04-23 07:13:20,PUM-01,105.6,64.3,24.6,
2026-04-23 07:14:20,PUM-02,106.5,64.5,25.1,
2026-04-23 07:15:20,PUM-03,106.6,65.4,27.3,
2026-04-23 07:16:20,PUM-01,106.9,67.1,27.5,
2026-04-23 07:17:20,PUM-02,102.6,67.7,25.0,
2026-04-23 07:18:20,PUM-03,104.9,65.9,26.4,
2026-04-23 07:19:20,PUM-01,105.4,67.2,26.5,
2026-04-23 07:20:20,PUM-02,104.0,66.3,24.3,
2026-04-23 07:21:20,PUM-03,102.2,65.1,26.4,
2026-04-23 07:22:20,PUM-01,105.3,65.1,25.3,
2026-04-23 07:23:20,PUM-02,104.0,66.3,26.4,
2026-04-23 07:24:20,PUM-03,107.1,64.8,28.0,
2026-04-23 07:25:20,PUM-01,105.0,65.0,24.1,
2026-04-23 07:26:20,PUM-02,104.0,66.3,27.7,
2026-04-23 07:27:20,PUM-03,105.7,67.2,24.8,
2026-04-23 07:28:20,PUM-01,103.8,66.0,27.3,
2026-04-23 07:29:20,PUM-02,104.7,67.9,25.9,
2026-04-23 07:30:20,PUM-03,103.6,64.2,27.6,
2026-04-23 07:31:20,PUM-01,104.3,67.7,27.5,
2026-04-23 07:32:20,PUM-02,106.8,65.4,25.0,
2026-04-23 07:33:20,PUM-03,102.1,67.2,24.3,
2026-04-23 07:34:20,PUM-01,104.8,67.1,28.0,
2026-04-23 07:35:20,PUM-02,103.1,67.5,26.9,
2026-04-23 07:36:20,PUM-03,106.3,64.6,25.4,
2026-04-23 07:37:20,PUM-01,104.3,66.2,24.9,
2026-04-23 07:38:20,PUM-02,102.0,66.2,27.9,
2026-04-23 07:39:20,PUM-03,105.7,65.5,25.9,
2026-04-23 07:40:20,PUM-01,105.6,64.1,24.5,
2026-04-23 07:41:20,PUM-02,103.4,65.7,26.9,
2026-04-23 07:42:20,PUM-03,102.0,65.9,27.9,
2026-04-23 07:43:20,PUM-01,104.7,64.3,26.4,
2026-04-23 07:44:20,PUM-02,106.6,67.3,25.8,
2026-04-23 07:45:20,PUM-03,103.3,65.8,26.3,
2026-04-23 07:46:20,PUM-01,104.7,64.4,26.6,
2026-04-23 07:47:20,PUM-02,102.8,64.6,27.7,
2026-04-23 07:48:20,PUM-03,102.8,64.4,27.0,
2026-04-23 07:49:20,PUM-01,105.8,66.5,27.2,
2026-04-23 07:50:20,PUM-02,103.2,65.4,27.4,
2026-04-23 07:51:20,PUM-03,106.7,65.2,26.8,
2026-04-23 07:52:20,PUM-01,106.1,67.1,25.5,
2026-04-23 07:53:20,PUM-02,107.2,67.0,24.8,
2026-04-23 07:54:20,PUM-03,104.7,67.0,25.9,
2026-04-23 07:55:20,PUM-01,103.8,65.9,25.6,
2026-04-23 07:56:20,PUM-02,105.8,66.7,27.9,
2026-04-23 07:57:20,PUM-03,102.5,64.1,27.6,
2026-04-23 07:58:20,PUM-01,105.3,67.2,27.1,
2026-04-23 07:59:20,PUM-02,102.2,66.7,26.9,
2026-04-23 08:00:20,PUM-03,106.4,66.5,27.8,
2026-04-23 08:01:20,PUM-01,103.7,67.4,27.5,
2026-04-23 08:02:20,PUM-02,104.1,65.5,27.5,
2026-04-23 08:03:20,PUM-03,106.0,64.6,24.1,
2026-04-23 08:04:20,PUM-01,102.3,66.3,25.3,
2026-04-23 08:05:20,PUM-02,102.0,64.6,27.4,
2026-04-23 08:06:20,PUM-03,107.0,65.2,24.5,
2026-04-23 08:07:20,PUM-01,106.0,67.0,25.8,
2026-04-23 08:08:20,PUM-02,103.9,65.2,27.8,
2026-04-23 08:09:20,PUM-03,102.2,67.4,26.9,
2026-04-23 08:10:20,PUM-01,102.6,66.0,24.4,
2026-04-23 08:11:20,PUM-02,107.1,66.2,25.6,
2026-04-23 08:12:20,PUM-03,106.0,65.1,27.2,
2026-04-23 08:13:20,PUM-01,107.0,66.2,27.8,
2026-04-23 08:14:20,PUM-02,105.9,65.9,27.7,
2026-04-23 08:15:20,PUM-03,105.8,67.9,27.8,
2026-04-23 08:16:20,PUM-01,103.2,67.8,26.0,
2026-04-23 08:17:20,PUM-02,104.9,65.7,26.6,
2026-04-23 08:18:20,PUM-03,105.2,65.5,26.9,
2026-04-23 08:19:20,PUM-01,107.7,67.3,24.9,
2026-04-23 08:20:20,PUM-02,106.8,64.2,26.1,
2026-04-23 08:21:20,PUM-03,107.2,67.8,27.8,
2026-04-23 08:22:20,PUM-01,102.9,64.4,27.0,
2026-04-23 08:23:20,PUM-02,106.4,66.4,27.2,
2026-04-23 08:24:20,PUM-03,107.5,65.4,26.3,
2026-04-23 08:25:20,PUM-01,106.8,64.2,26.8,
2026-04-23 08:26:20,PUM-02,106.4,64.1,25.2,
2026-04-23 08:27:20,PUM-03,104.0,65.8,27.6,
2026-04-23 08:28:20,PUM-01,106.4,65.1,24.1,
2026-04-23 08:29:20,PUM-02,103.0,64.3,27.8,
2026-04-23 08:30:20,PUM-03,103.9,65.6,24.7,
2026-04-23 08:31:20,PUM-01,107.4,66.8,24.7,
2026-04-23 08:32:20,PUM-02,102.5,65.3,25.7,
2026-04-23 08:33:20,PUM-03,105.2,64.5,24.4,
2026-04-23 08:34:20,PUM-01,102.6,65.8,27.7,
2026-04-23 08:35:20,PUM-02,107.0,64.6,27.0,
2026-04-23 08:36:20,PUM-03,105.0,65.8,25.5,
2026-04-23 08:37:20,PUM-01,102.8,67.5,24.1,
2026-04-23 08:38:20,PUM-02,107.8,65.6,24.3,
2026-04-23 08:39:20,PUM-03,102.7,65.7,25.3,
2026-04-23 08:40:20,PUM-01,107.3,67.1,25.0,
2026-04-23 08:41:20,PUM-02,103.4,65.2,27.2,
2026-04-23 08:42:20,PUM-03,107.5,64.1,26.1,
2026-04-23 08:43:20,PUM-01,105.1,64.8,26.8,
2026-04-23 08:44:20,PUM-02,107.8,64.0,24.0,
2026-04-23 08:45:20,PUM-03,106.3,65.1,24.3,
2026-04-23 08:46:20,PUM-01,102.4,65.3,27.0,
2026-04-23 08:47:20,PUM-02,104.4,64.7,24.8,
2026-04-23 08:48:20,PUM-03,106.9,67.4,26.5,
2026-04-23 08:49:20,PUM-01,105.7,66.5,27.9,
2026-04-23 08:50:20,PUM-02,102.9,66.5,25.1,
2026-04-23 08:51:20,PUM-03,107.0,64.8,26.6,
2026-04-23 08:52:20,PUM-01,106.8,67.9,25.8,
2026-04-23 08:53:20,PUM-02,104.9,66.5,27.2,
2026-04-23 08:54:20,PUM-03,107.9,65.2,24.3,
2026-04-23 08:55:20,PUM-01,102.5,67.5,24.7,
2026-04-23 08:56:20,PUM-02,105.9,66.9,25.3,
2026-04-23 08:57:20,PUM-03,102.7,67.5,27.4,
2026-04-23 08:58:20,PUM-01,102.8,65.2,25.9,
2026-04-23 08:59:20,PUM-02,107.0,65.3,27.1,
2026-04-23 09:00:20,PUM-03,104.3,66.8,27.8,
2026-04-23 09:01:20,PUM-01,107.7,66.0,26.9,
2026-04-23 09:02:20,PUM-02,104.9,66.4,26.0,
2026-04-23 09:03:20,PUM-03,103.7,65.6,24.7,
2026-04-23 09:04:20,PUM-01,105.1,67.0,27.1,
