Timestamp,Machine_ID,Pressure_PSI,Temp_C,Vibration_Hz,Error_Code
2026-04-23 05:34:56,PUM-01,105.9,67.6,25.9,
2026-04-23 05:35:56,PUM-02,103.2,65.7,24.3,
2026-04-23 05:36:56,PUM-03,104.7,66.0,25.2,
2026-04-23 05:37:56,PUM-01,106.1,65.7,26.6,
2026-04-23 05:38:56,PUM-02,106.3,65.2,27.0,
2026-04-23 05:39:56,PUM-03,107.8,64.9,26.9,
2026-04-23 05:40:56,PUM-01,103.3,67.5,27.0,
2026-04-23 05:41:56,PUM-02,103.5,64.1,26.2,
2026-04-23 05:42:56,PUM-03,104.3,67.9,25.3,
2026-04-23 05:43:56,PUM-01,106.4,64.8,27.0,
2026-04-23 05:44:56,PUM-02,103.6,66.4,25.8,
2026-04-23 05:45:56,PUM-03,103.0,67.6,26.3,
2026-04-23 05:46:56,PUM-01,103.5,66.4,24.9,
2026-04-23 05:47:56,PUM-02,105.1,67.9,26.4,
2026-04-23 05:48:56,PUM-03,105.9,65.4,25.4,
2026-04-23 05:49:56,PUM-01,105.6,66.1,27.5,
2026-04-23 05:50:56,PUM-02,106.4,66.9,24.8,
2026-04-23 05:51:56,PUM-03,105.9,65.5,25.3,
2026-04-23 05:52:56,PUM-01,106.0,67.2,27.9,
2026-04-23 05:53:56,PUM-02,106.8,64.9,27.7,
2026-04-23 05:54:56,PUM-03,107.3,65.2,26.6,
2026-04-23 05:55:56,PUM-01,102.2,66.4,26.9,
2026-04-23 05:56:56,PUM-02,102.5,67.6,24.3,
2026-04-23 05:57:56,PUM-03,102.5,67.1,27.9,
2026-04-23 05:58:56,PUM-01,105.2,64.7,27.1,
2026-04-23 05:59:56,PUM-02,102.9,66.6,27.9,
2026-04-23 06:00:56,PUM-03,102.1,65.6,24.8,
2026-04-23 06:01:56,PUM-01,107.9,64.9,24.5,
2026-04-23 06:02:56,PUM-02,103.9,64.1,25.8,
2026-04-23 06:03:56,PUM-03,106.7,66.9,24.1,
2026-04-23 06:04:56,PUM-01,107.7,64.4,25.9,
2026-04-23 06:05:56,PUM-02,104.2,64.9,25.7,
2026-04-23 06:06:56,PUM-03,105.3,64.4,26.3,
2026-04-23 06:07:56,PUM-01,107.4,66.1,24.7,
2026-04-23 06:08:56,PUM-02,106.4,64.1,24.3,
2026-04-23 06:09:56,PUM-03,102.3,66.9,25.3,
2026-04-23 06:10:56,PUM-01,105.1,67.0,25.8,
2026-04-23 06:11:56,PUM-02,104.1,66.5,26.9,
